Symbol,Token,Strike
NIFTY22AUG24C24200,36707,24200
NIFTY22AUG24P24200,36708,24200
NIFTY22AUG24C24300,36740,24300
NIFTY22AUG24P24300,36741,24300
NIFTY22AUG24C24400,36750,24400
NIFTY22AUG24P24400,36753,24400
NIFTY22AUG24C24500,36758,24500
NIFTY22AUG24P24500,36759,24500
NIFTY22AUG24C24600,36764,24600
NIFTY22AUG24P24600,36765,24600
NIFTY22AUG24C24700,36770,24700
NIFTY22AUG24P24700,36775,24700
NIFTY22AUG24C24800,36788,24800
NIFTY22AUG24P24800,36789,24800
NIFTY22AUG24C24900,36792,24900
NIFTY22AUG24P24900,36793,24900
NIFTY22AUG24C25000,36804,25000
NIFTY22AUG24P25000,36805,25000
NIFTY22AUG24C25100,36818,25100
NIFTY22AUG24P25100,36819,25100
NIFTY22AUG24C25200,36824,25200
NIFTY22AUG24P25200,36825,25200
NIFTY29AUG24C24200,74643,24200
NIFTY29AUG24P24200,74647,24200
NIFTY29AUG24C24300,74650,24300
NIFTY29AUG24P24300,74651,24300
NIFTY29AUG24C24400,74654,24400
NIFTY29AUG24P24400,74655,24400
NIFTY29AUG24C24500,74662,24500
NIFTY29AUG24P24500,74663,24500
NIFTY29AUG24C24600,74670,24600
NIFTY29AUG24P24600,74671,24600
NIFTY29AUG24C24700,74678,24700
NIFTY29AUG24P24700,74679,24700
NIFTY29AUG24C24800,74686,24800
NIFTY29AUG24P24800,74687,24800
NIFTY29AUG24C24900,74692,24900
NIFTY29AUG24P24900,74693,24900
NIFTY29AUG24C25000,74698,25000
NIFTY29AUG24P25000,74699,25000
NIFTY29AUG24C25100,74703,25100
NIFTY29AUG24P25100,74704,25100
NIFTY29AUG24C25200,74707,25200
NIFTY29AUG24P25200,74708,25200
